"Newhaven, East Sussex","{'address': 'Newhaven, Lewes, East Sussex, England', 'location': {'x': 0.047152016, 'y': 50.793493301}, 'score': 100, 'attributes': {}, 'extent': {'xmin': 0.028152016, 'ymin': 50.774493301, 'xmax': 0.066152016, 'ymax': 50.812493301}}"
"Albuquerque, New Mexico","{'address': 'Albuquerque, New Mexico', 'location': {'x': -106.649241, 'y': 35.084248}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -106.832241, 'ymin': 34.901248, 'xmax': -106.466241, 'ymax': 35.267248}}"
"Hexham, Northumberland","{'address': 'Hexham, Northumberland, England', 'location': {'x': -2.100938846, 'y': 54.971787629}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -2.123938846, 'ymin': 54.948787629, 'xmax': -2.077938846, 'ymax': 54.994787629}}"
"Kythera, Greece","{'address': 'Kythira', 'location': {'x': 22.987898, 'y': 36.149655}, 'score': 100, 'attributes': {}, 'extent': {'xmin': 22.737898, 'ymin': 35.899655, 'xmax': 23.237898, 'ymax': 36.399655}}"
"Kobe, Japan","{'address': 'Kobe, Hyogo', 'location': {'x': 135.19575707, 'y': 34.68942768}, 'score': 100, 'attributes': {}, 'extent': {'xmin': 134.89075707, 'ymin': 34.38442768, 'xmax': 135.50075707, 'ymax': 34.99442768}}"
"Faculty of Mathematics,","{'address': 'Faculty Of Mathematics', 'location': {'x': 8.4929, 'y': 52.0374}, 'score': 100, 'attributes': {}, 'extent': {'xmin': 8.4879, 'ymin': 52.0324, 'xmax': 8.4979, 'ymax': 52.0424}}"
"Westport, Co. Mayo","{'address': 'Westport, Mayo', 'location': {'x': -9.522286, 'y': 53.8011379}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -9.622286, 'ymin': 53.7011379, 'xmax': -9.422286, 'ymax': 53.9011379}}"
"Austin, Minnesota","{'address': 'Austin, Minnesota', 'location': {'x': -92.974829, 'y': 43.670395}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -93.027829, 'ymin': 43.617395, 'xmax': -92.921829, 'ymax': 43.723395}}"
"Westerham, Kent","{'address': 'Westerham, Sevenoaks, Kent, England', 'location': {'x': 0.071823535, 'y': 51.267050357}, 'score': 100, 'attributes': {}, 'extent': {'xmin': 0.059823535, 'ymin': 51.255050357, 'xmax': 0.083823535, 'ymax': 51.279050357}}"
University of Texas at Austin,"{'address': 'University of Texas at Austin', 'location': {'x': -97.73588, 'y': 30.285758}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -97.74588, 'ymin': 30.275758, 'xmax': -97.72588, 'ymax': 30.295758}}"
"Des Moines, Iowa","{'address': 'Des Moines, Iowa', 'location': {'x': -93.620309, 'y': 41.588822}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -93.719309, 'ymin': 41.489822, 'xmax': -93.521309, 'ymax': 41.687822}}"
The David Sylvester Literary Trust,"{'address': 'Trust, Kilconnell, Galway', 'location': {'x': -8.4114158, 'y': 53.3617265}, 'score': 70, 'attributes': {}, 'extent': {'xmin': -8.4244158, 'ymin': 53.3487265, 'xmax': -8.3984158, 'ymax': 53.3747265}}"
Albuquerque,"{'address': 'Albuquerque, New Mexico', 'location': {'x': -106.649241, 'y': 35.084248}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -106.832241, 'ymin': 34.901248, 'xmax': -106.466241, 'ymax': 35.267248}}"
"Givatayim, Israel","{'address': 'Givatayim', 'location': {'x': 34.8128794, 'y': 32.0708088}, 'score': 100, 'attributes': {}, 'extent': {'xmin': 34.8018794, 'ymin': 32.0598088, 'xmax': 34.8238794, 'ymax': 32.0818088}}"
"School of Education, University of Bristol","{'address': 'Graduate School of Education', 'location': {'x': -2.604822414, 'y': 51.455018977}, 'score': 90.91, 'attributes': {}, 'extent': {'xmin': -2.607822414, 'ymin': 51.452018977, 'xmax': -2.601822414, 'ymax': 51.458018977}}"
"Dursley, Gloucestershire","{'address': 'Dursley, Stroud, Gloucestershire, England', 'location': {'x': -2.353775339, 'y': 51.681401571}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -2.366775339, 'ymin': 51.668401571, 'xmax': -2.340775339, 'ymax': 51.694401571}}"
Princeton,"{'address': 'Princeton', 'location': {'x': -74.652504, 'y': 40.351312}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -74.666504, 'ymin': 40.337312, 'xmax': -74.638504, 'ymax': 40.365312}}"
"Lurøy, Norway","{'address': 'Lurøy, Nordland', 'location': {'x': 12.8401196, 'y': 66.417788}, 'score': 100, 'attributes': {}, 'extent': {'xmin': 12.4211196, 'ymin': 65.998788, 'xmax': 13.2591196, 'ymax': 66.836788}}"
"Wantage, Oxford","{'address': 'Oxford', 'location': {'x': -1.51426, 'y': 51.58506}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -1.51926, 'ymin': 51.58006, 'xmax': -1.50926, 'ymax': 51.59006}}"
"Porirua, New Zealand","{'address': 'Porirua, Wellington', 'location': {'x': 174.840646508, 'y': -41.133308476}, 'score': 100, 'attributes': {}, 'extent': {'xmin': 174.746646508, 'ymin': -41.227308476, 'xmax': 174.934646508, 'ymax': -41.039308476}}"
"Mendocino County, California","{'address': 'Mendocino County, California', 'location': {'x': -123.431555119511, 'y': 39.433613357102}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -124.070555119511, 'ymin': 38.794613357102, 'xmax': -122.792555119511, 'ymax': 40.072613357102}}"
"Chester, Cheshire","{'address': 'Chester, Cheshire, England', 'location': {'x': -2.891645404, 'y': 53.190219096}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -2.935645404, 'ymin': 53.146219096, 'xmax': -2.847645404, 'ymax': 53.234219096}}"
"Managing Director, Athlone Press, London WC1","{'address': 'WC1A 1, London, England', 'location': {'x': -0.1260958, 'y': 51.5179383}, 'score': 73.94, 'attributes': {}, 'extent': {'xmin': -0.1290958, 'ymin': 51.5149383, 'xmax': -0.1230958, 'ymax': 51.5209383}}"
"Emeritus Professor of Law, University of London, Marlow, Bucks","{'address': 'Marlow, Buckinghamshire, England', 'location': {'x': -0.776936495, 'y': 51.571878362}, 'score': 75, 'attributes': {}, 'extent': {'xmin': -0.793936495, 'ymin': 51.554878362, 'xmax': -0.759936495, 'ymax': 51.588878362}}"
"Matrix Chambers, London WC1","{'address': 'Chambers, 68 York Street, Marylebone, South Marylebone, Westminster, London, England, W1H 1DE', 'location': {'x': -0.161936022417, 'y': 51.520256391503}, 'score': 84.35, 'attributes': {}, 'extent': {'xmin': -0.162936022417, 'ymin': 51.519256391503, 'xmax': -0.160936022417, 'ymax': 51.521256391503}}"
"Todmorden, Lancs","{'address': 'Todmorden, Lancashire, England', 'location': {'x': -2.0977347, 'y': 53.7135719}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -2.1597347, 'ymin': 53.6515719, 'xmax': -2.0357347, 'ymax': 53.7755719}}"
University of Southampton,"{'address': 'University of Southampton', 'location': {'x': -1.3105318, 'y': 51.0650039}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -1.3155318, 'ymin': 51.0600039, 'xmax': -1.3055318, 'ymax': 51.0700039}}"
"Callaly, Northumberland","{'address': 'Callaly, Alnwick, Northumberland, England', 'location': {'x': -1.9186162, 'y': 55.3796832}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -1.9396162, 'ymin': 55.3586832, 'xmax': -1.8976162, 'ymax': 55.4006832}}"
London SE18,"{'address': 'SE1 8, London, England', 'location': {'x': -0.1082242, 'y': 51.5037875}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -0.1152242, 'ymin': 51.4967875, 'xmax': -0.1012242, 'ymax': 51.5107875}}"
"Munslow, Shropshire","{'address': 'Munslow, Shropshire, England', 'location': {'x': -2.705436367, 'y': 52.484677718}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -2.709436367, 'ymin': 52.480677718, 'xmax': -2.701436367, 'ymax': 52.488677718}}"
"Saint Mary’s UniversityHalifax, Nova Scotia","{'address': ""Saint Mary's University"", 'location': {'x': -63.5815846, 'y': 44.6294884}, 'score': 99.5, 'attributes': {}, 'extent': {'xmin': -63.5865846, 'ymin': 44.6244884, 'xmax': -63.5765846, 'ymax': 44.6344884}}"
"Department of English, University of Virginia, Charlotte, VA 22903","{'address': '22903, University of Virginia, Virginia', 'location': {'x': -78.5145, 'y': 38.0415}, 'score': 83.16, 'attributes': {}, 'extent': {'xmin': -78.5295, 'ymin': 38.0265, 'xmax': -78.4995, 'ymax': 38.0565}}"
Winnipeg,"{'address': 'Winnipeg, Manitoba', 'location': {'x': -97.138865, 'y': 49.899897}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -97.306865, 'ymin': 49.731897, 'xmax': -96.970865, 'ymax': 50.067897}}"
"Nuffield Trust, London W1","{'address': 'Nuffield Trust', 'location': {'x': -0.1465, 'y': 51.5196}, 'score': 94.29, 'attributes': {}, 'extent': {'xmin': -0.1515, 'ymin': 51.5146, 'xmax': -0.1415, 'ymax': 51.5246}}"
University of Alberta,"{'address': 'University Of Alberta', 'location': {'x': -113.5200227, 'y': 53.5226662}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -113.5280227, 'ymin': 53.5146662, 'xmax': -113.5120227, 'ymax': 53.5306662}}"
"Policy Studies Unit, SW1","{'address': ""Unit A, Juniper Drive, Saint Mary's Park, Wandsworth, London, England, SW18 1GH"", 'location': {'x': -0.18298650169, 'y': 51.464450518351}, 'score': 70.66, 'attributes': {}, 'extent': {'xmin': -0.18398650169, 'ymin': 51.463450518351, 'xmax': -0.18198650169, 'ymax': 51.465450518351}}"
"Anthony Sheil Associates, London WC1","{'address': 'Sheil Land Associates', 'location': {'x': -0.1161, 'y': 51.5234}, 'score': 74.21, 'attributes': {}, 'extent': {'xmin': -0.1211, 'ymin': 51.5184, 'xmax': -0.1111, 'ymax': 51.5284}}"
"Federal University of Minas Gerais, Brazil","{'address': 'Federal University Of Minas Gerais', 'location': {'x': -43.9677, 'y': -19.8707}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -43.9727, 'ymin': -19.8757, 'xmax': -43.9627, 'ymax': -19.8657}}"
